"","au2010","lib2010","cat2010","tau2015","ppltn15","emply15","entrp15","nvntr15","prfss15","intll15","stnserv","emp_diff","entre_diff","new_diff","prof_diff","int_diff","serv_diff","libau2010"
"1",105,"Vichy",112,6,83811,30314,4827,511,1756,2698,13,-6.2122523877008,9.27270024714844,2.92586975530673,14.8848983594203,-9.25773691228908,-15.7153657535174,"Vichy"
"2",107,"Châlons-en-Champagne",112,6,81858,33550,3315,361,1213,3501,14,6.34598340275865,-25.8625999131223,-29.2360244043324,-19.5952642575027,19.7042096551413,-6.23938370190111,"Châlons-en-Champagne"
"3",129,"Sens",111,6,62744,23771,3158,373,991,2046,11,-0.868088296096481,-3.17894809745507,3.2141044773951,-11.4550018450702,-1.21281053629172,-7.06374621701169,"Sens"
"4",108,"Montluçon",112,6,78314,28995,3519,392,1305,2135,22,-3.71110127388032,-15.3077247003973,-16.1409675455184,-7.56544587799848,-24.2949670419617,42.8357717560868,"Montluçon"
"5",145,"Saint-Dié-des-Vosges",112,6,50497,18448,2974,289,963,1431,11,-3.97289524718776,13.3030633147411,1.52697407169038,8.83236105903658,-10.1807831151662,11.9560433902567,"Saint-Dié-des-Vosges"
"6",61,"Maubeuge (partie française)",111,7,129738,40614,4165,528,1414,2775,16,-21.7263646070897,-50.7233117397019,-41.7488515531498,-53.366703096246,-60.3378608378724,-33.2235312780464,"Maubeuge (partie française)"
"7",70,"Creil",111,7,120844,44148,4440,735,1656,4072,16,-6.1074618107039,-36.9759523750549,-0.878689704426172,-29.9963250208617,-13.2302634420441,-27.0032855573078,"Creil"
"8",119,"Montargis",112,6,71081,25529,3676,441,1240,2169,13,-6.51418957467627,-0.908537339235238,6.27099087262817,-2.34199399117294,-10.7625019705149,-1.28564479953979,"Montargis"
"9",18,"Tours",111,8,492526,202684,24875,3164,8718,27851,91,2.35998270025828,-10.1433634804373,-9.08410296551541,-13.7107015379653,5.74353971994679,23.7576445717751,"Tours"
"10",77,"Évreux",112,7,112226,45404,5385,600,1637,4829,17,4.27740386306823,-10.0186593672266,-13.0542210150959,-23.2615824621344,12.9457156233316,-14.4605105230764,"Évreux"
"11",132,"Saintes",112,6,62579,24156,3655,393,1394,2039,11,1.00831906393104,11.7094291774675,8.72616783951603,22.9475680371062,-1.23074734952597,-6.83310802313031,"Saintes"
"12",7,"Nice",111,9,1005891,398045,111844,14341,28568,56729,161,-3.30374085379272,66.2398301402252,63.6873383811009,28.8401993281411,-11.1902374789091,18.2666762848255,"Nice"
"13",10,"Grenoble",112,9,690050,292458,43252,5551,13135,57820,91,4.48048132182528,10.2568857981041,10.1267661269674,-8.67732478593037,37.1975207694737,-5.77871951896221,"Grenoble"
"14",28,"Le Mans",112,8,347348,138831,14565,1743,5533,15230,50,0.297402698298477,-27.5068794186188,-30.3866603609289,-21.941142372655,-11.5435302584739,-5.53829001626185,"Le Mans"
"15",55,"Vannes",112,7,155937,62059,9428,1055,3646,7627,25,1.82734204216057,11.9275471467118,7.28769477205935,21.7420671447865,18.0798189440505,-4.70544303432736,"Vannes"
"16",148,"Saint-Cyprien",111,6,53068,16905,4411,608,1525,1443,10,-17.7950766659761,47.5802605883565,70.4525177147652,49.5069810539579,-15.4708338470628,-1.92464271982837,"Saint-Cyprien"
"17",122,"Mont-de-Marsan",112,6,70613,29107,3407,419,1235,2588,16,7.27891803477139,-7.82383265625803,1.87845918388128,-2.04169184632157,7.71417847625466,20.056885494322,"Mont-de-Marsan"
"18",59,"Thionville",111,7,135864,54861,5686,635,1649,5606,13,3.61599721931327,-24.3716199089901,-28.3586912857874,-42.9114422953183,4.29018967513315,-58.0285761197579,"Thionville"
"19",49,"Angoulême",112,7,182541,72468,9659,1041,3417,6985,26,1.19559047213347,-1.962835921384,-11.3333747588995,-1.54053487458992,-10.1421259154989,-14.5805742200007,"Angoulême"
"20",29,"Reims",112,8,322264,130241,15961,1905,5051,17493,56,1.58933705359985,-10.5927214034095,-13.2742095313803,-23.0633568096582,11.5549784862788,12.359879642559,"Reims"
